Title,Date,Length
Trump Victory Speech,"November 8, 2024",24:34
"Trump Rally in Milwaukee, Wisconsin","November 5, 2024",252:46
"Trump Rally in Warren, Michigan","November 5, 2024",221:42
"Trump Rally in Henderson, Nevada","November 5, 2024",80:51
"Trump Rally in Raleigh, North Carolina","November 5, 2024",101:18
"Trump Rally in Salem, Virginia","November 5, 2024",130:30
Trump Rally in Macon Georgia,"November 4, 2024",237:44
"Trump Rally in Greensboro, North Carolina","November 4, 2024",61:9
Final Trump Rally Before Election Day,"November 4, 2024",251:41
"Trump Holds Campaign Rally in Rocky Mount, North Carolina","October 30, 2024",109:40
"Trump Rally in Greensboro, North Carolina","October 24, 2024",110:46
"Trump Rally in Juneau, Wisconsin","October 7, 2024",116:42
Trump and Musk Speak at Butler Rally,"October 7, 2024",113:1
Trump Rally Before VP Debate,"October 2, 2024",74:42
"Trump Rally in Walker, Michigan","September 30, 2024",73:39
Trump Rally in Georgia,"September 25, 2024",84:33
"Trump Rally in Indiana, Pennsylvania","September 24, 2024",138:8
Donald Trump Rally on 9/18/24 in Uniondale,"September 19, 2024",81:23
Trump Rally in Las Vegas,"September 16, 2024",72:0
Donald Trump Rally in Arizona,"September 15, 2024",75:46
Trump Rally in Wisconsin,"September 9, 2024",75:0
"Trump Speaks at Turning Point rally in Glendale, Arizona","August 26, 2024",135:19
"Vance and Trump rally in Asheboro, NC","August 22, 2024",145:23
Donald Trump Holds a Campaign Rally in Michigan,"August 21, 2024",55:28
Donald Trump Rally in Pennsylvania on 8/19/24,"August 20, 2024",57:30
"Trump Rally in Wilkes-Barre, Pennsylvania","August 19, 2024",106:26
Trump Rally in North Carolina,"August 15, 2024",59:46
Trump Rally in Montana,"August 12, 2024",82:51
Trump and Vance Speak at Atlanta Rally,"August 5, 2024",168:26
"Trump Rally in Grand Rapids, Michigan","July 22, 2024",113:49
Trump Rally in Florida on 7/09/24,"July 10, 2024",74:29
Trump Holds First Post-Debate Rally in Virginia,"July 1, 2024",75:0
Donald Trump Rally in Philadelphia,"June 24, 2024",62:55
"Donald Trump Campaign Rally in Racine, Wisconsin","June 20, 2024",66:0
Donald Trump Rally in Nevada,"June 10, 2024",61:57
Trump Speaks at Phoenix Rally,"June 10, 2024",91:4
Trump Speaks at Rally in the Bronx,"May 26, 2024",85:9
Donald Trump Holds Rally in Wisconsin on 5/01/24,"May 2, 2024",63:23
"Donald Trump Rally in Schnecksville, Pennsylvania","April 16, 2024",59:21
Donald Trump Speaks at Rally in Ohio,"March 18, 2024",78:50
Donald Trump Rally in Richmond,"March 4, 2024",77:18
Donald Trump Victory Speech After Winning South Carolina GOP Primary Transcript,"February 26, 2024",24:5
Donald Trump Delivers Speech in South Carolina,"February 12, 2024",77:37
Donald Trump Speaks at Rally in Las Vegas,"January 29, 2024",75:37
Donald Trump Holds Final Rally Before N.H. Primary,"January 23, 2024",64:36
Trump Holds Campaign Rally in New Hampshire with Vivek Ramaswamy Transcript,"January 17, 2024",54:47
"Donald Trump Election Campaign Rally in Sioux Center, Iowa","January 8, 2024",102:7
Trump Holds Rally In Iowa Moments After Colorado Supreme Court Blocks Him From Ballot Transcript,"December 20, 2023",59:58
"Trump Rally from Durham, New Hampshire 12/16/23 Transcript","December 19, 2023",83:59
Donald Trump Rally in Reno 12/17/23 Transcript,"December 18, 2023",59:24
Donald Trump Delivers Speech in Iowa Transcript,"October 9, 2023",59:4
Former US President Donald Trump Delivers Speech Ahead of Independence Day Transcript,"July 3, 2023",60:0
Trump Responds to Charges In Speech Following Arraignment In Federal Court Transcript,"June 14, 2023",28:28
Former President Donald Trump Election Rally From New Hampshire Transcript,"May 1, 2023",78:8
"Donald Trump Hosts First 2024 Presidential Campaign Rally in Waco, Texas Transcript","March 27, 2023",81:30
"Donald Trump Speech in Davenport, Iowa 3/13/23 Transcript","March 14, 2023",63:58
Donald Trump Delivers Keynote Speech at New Hampshire GOP Annual Meeting Transcript,"January 30, 2023",60:28
Donald Trump speaks at Ohio rally for Republican Senate candidate JD Vance Transcript,"November 8, 2022",77:59
Trump Rally in PA for Dr. Oz 11/05/22 Transcript,"November 7, 2022",75:55
"Trump Holds Save America Rally in Robstown, Texas 10/22/22 Transcript","October 23, 2022",89:42
Former President Trump speaks at NC campaign rally 9/23/22 Transcript,"September 26, 2022",83:4
Donald Trump SAVE AMERICA RALLY in Ohio 09/17/22 Transcript,"September 18, 2022",100:46
Trump speaks at Dr Oz rally in Pennsylvania Transcript,"September 4, 2022",112:22
Trump's Speech in Arizona 7/22/22 Transcript,"July 24, 2022",98:15
Trump gives speech in Illinois 6/25/22 Transcript,"June 26, 2022",61:40
Donald Trump's full NRA speech 5/27/22 Transcript,"May 29, 2022",13:24
"Donald Trump held a rally in Greensburg, Pennsylvania on 5/07/22 in support of GOP Senate candidate Dr. Oz. Transcript","May 8, 2022",76:17
"Donald Trump Rally In Greenwood, Nebraska 5/1/22 Transcript","May 3, 2022",104:3
Donald Trump Delivers Keynote Speech in Florida 4/21/22 Transcript,"April 24, 2022",77:19
Donald Trump Rally in Selma NC North Carolina 4/9/22 Transcript,"April 10, 2022",54:51
"Donald Trump Des Moines, Iowa Rally Speech Transcript October 9","October 9, 2021",101:7
"Donald Trump Perry, Georgia Rally Speech Transcript September 25","September 26, 2021",52:29
"Donald Trump Speech Transcript: Kabul Bombing ""Would Not Have Happened If I Were Your President""","August 26, 2021",1:0
"Donald Trump Cullman, Alabama Rally Speech Transcript","August 22, 2021",88:47
"Donald Trump Phoenix, Arizona Rally Speech Transcript July 24","July 24, 2021",105:58
"Donald Trump CPAC 2021 Speech Transcript Dallas, TX","July 11, 2021",88:45
Donald Trump & Greg Abbott Texas Border Security Visit Speech Transcript,"June 30, 2021",21:30
"Donald Trump Wellington, Ohio Rally Speech Transcript: First Rally Since Leaving Office","June 27, 2021",92:55
Donald Trump Speech Transcript at North Carolina GOP Convention Dinner June 5,"June 5, 2021",3:23
Donald Trump CPAC 2021 Speech Transcript,"February 28, 2021",89:2
Donald Trump Jr. 2021 CPAC Speech Transcript February 26,"February 26, 2021",11:10
Donald Trump Speech Transcript Departing White House on Inauguration Day,"January 20, 2021",8:58
President Donald Trump Farewell Address Speech Transcript,"January 19, 2021",18:39
Donald Trump Second Video Speech Condemning Capitol Violence: Transcript,"January 13, 2021",4:49
"Donald Trump Alamo, Texas Speech Transcript January 12: 25th Amendment ""Zero Risk to Me""","January 12, 2021",21:18
"Donald Trump Speech ""Save America"" Rally Transcript January 6","January 6, 2021",70:35
"Donald Trump Rally Speech Transcript Dalton, Georgia: Senate Runoff Election","January 4, 2021",80:24
Donald Trump Video Speech Transcript on COVID Relief Bill December 22,"December 22, 2020",3:18
Donald Trump Georgia Rally Transcript Before Senate Runoff Elections December 5,"December 6, 2020",99:4
Donald Trump Speech on Election Fraud Claims Transcript December 2,"December 2, 2020",45:40
Donald Trump 2020 Election Night Speech Transcript,"November 4, 2020",9:44
"Donald Trump Rally Speech Transcript Grand Rapids, Michigan November 2","November 2, 2020",72:48
"Donald Trump Rally Speech Transcript Kenosha, WI November 2","November 2, 2020",72:44
"Donald Trump & Mike Pence Rally Speech Transcript Traverse City, Michigan November 2","November 2, 2020",76:6
"Donald Trump Rally Speech Transcript Scranton, PA November 2","November 2, 2020",72:50
"Donald Trump Rally Speech Transcript Fayetteville, NC November 2","November 2, 2020",63:39
"Donald Trump Rally Speech Transcript Opa-locka, Florida November 1","November 1, 2020",60:56
"Donald Trump Rally Speech Transcript Rome, Georgia November 1","November 1, 2020",49:39
"Donald Trump Rally Speech Transcript Hickory, North Carolina November 1","November 1, 2020",42:8
"Donald Trump Rally Speech Transcript Dubuque, Iowa November 1","November 1, 2020",70:54
"Donald Trump Rally Speech Transcript Macomb County, MI November 1","November 1, 2020",62:32
"Donald Trump Rally Speech Transcript Reading, PA October 31","November 1, 2020",63:48
